几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
用户进线提供物流单号,私信,20221226 23:42:39
没收到货，只收到一个,收到的那个快递面单提供下,20221226 23:41:12
我买了两个加湿器为什么只收到一个,辛苦您拍照下您收到的完整商品以及完整快递面单这边去为您反馈厂家核实处理下,20221218 17:16:44
我拍二就给我发过来一个还不支持退货,核实拍照下您收到的完整商品以及完整快递面单这边去为您反馈下,20221217 18:07:05
这本书怎么买呢我在喜马拉雅听的这个书怎么买呢,点击这个购买书籍这个就是此主播在售卖的书籍是否解决：,20230106 19:40:19
大概什么时候才能收到货。,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区发出后点击喜马拉雅APP[我的-全部服务-订单]可关注物流,20221224 11:31:13
请问这个会员什么时候能到账,需要您收到商品后激活领取到账的,20230208 16:39:26
订单已经取消，但积分没有退回,您好，您可联系客服热线：0755-2694-8877，工作时间9:00-21:00，帮您处理相关问题哦~,20230216 16:44:06
和未发货退款,已经为您处理了呢，后续关注一下退款是否到账,20230202 12:09:37
怎么退,核实相关订单,20230214 19:54:55
买的牙刷有售后吗,质保一年,20221130 19:58:06
电商喜马拉雅真无线蓝牙耳机青春版还售卖吗,不售卖,20230405 21:14:52
为什么在你们平台买东西一直不发货催发货了两天都没反应,反馈,20230417 10:54:46
迪士尼透明仓蓝牙耳机LY-311，去年9月份买的蓝牙耳机用了不到半年，其中一个就无法充电，没有反应了,辛苦试试使用酒精棉片擦拭下耳机底部看下是否可以充电，用户离线,20230205 12:09:11
我退货填写的单号写错了、,反馈商家哦,20221220 20:35:00
哈利波特玩偶公仔下面座可粘吗？,不可以哈是否解决：,20221101 18:30:23
我购买的年卡怎么没有续上？,这个会员是实体卡哦需要您收到后激活使用的呢是否解决：,20230115 21:23:51
牛奶一直没收到,1280548885155被退回，申请补发,20230116 09:45:17
用户称商品未收到物流一直未更新辛苦处理,这边为您催促一下呢~查询到目前是正在邮寄当中呢~,20221206 21:11:50
昨天买错了的筷子申请退款为什么到现在还没有退款呢,查看已为您提交退款了，时效是1-3工作日内，预计最快今天到账的哦,20230103 11:18:24
退款,这边为您处理退款辛苦后续关注一下退款是否到账,20230102 14:54:09
订单一直未发货要求退款,已退款用户离线,20221104 17:19:49
郭论&谦道联名典藏礼盒半年卡什么时候到账电商所属供应商名称：【万物声】的店铺,这边是实体卡预售款4.30陆续发货哦~,20230405 15:33:49
商家:湖南梦洁移动互联网电子商务有限公司修改地址，正确地址：收货人:陈芋如手机号码:所在地区:福建省福州市仓山区对湖街道详细地址:上三路6号兰庭新天地25井楼506单元辛苦处理下,反馈厂家,20221205 14:09:47
我的订单还是按之前买的收货地址，不要修改,告知用户反馈，已同步前客服无需更改地址,20221205 12:07:42
申请的退款还没有给退,催促，用户离线是否解决：,20230109 18:21:29
用户称收件地址已经解封要求尽快发货辛苦处理谢谢,这边为您催促一下呢~·辛苦后续关注一下订单页面物流是否更新呢~,20221209 11:00:04
用户反馈耳机使用中经常会有电流声,反馈商家核实后私信,20230221 10:58:44
我要去上海快递我拿不到了！,尝试修改地址，信息离线,20230306 14:59:11
茅台酒是真的吗,辛苦截图下商品信息页面,20221105 15:47:45
和退款,这边为您处理退款呢~辛苦麻烦您稍后关注一下退款是否到账呢~,20221201 13:04:31
这个开关坏了。,核实私信,20221229 23:34:05
我在积分商城买的东西要退款电商,因为该商品属于三方商家出品，为了更快的为您解决问题，所以建议您联系下商家咨询，希望您能理解，感谢您对喜马拉雅的支持，祝您生活愉快~,20230317 10:08:22
我要退货电商商家:上海晶融实业有限公司,核实可以退货，辛苦您将商品寄出哈,20230321 18:32:58
有没有三体文创？,可以在商城中看下是否有套餐哦,20230225 10:00:47
未退款,催促处理，退款预计1-3个工作日原路返回到账，您注意查收。,20221218 18:06:59
我的货八天了，还没发货,这边反馈仓库催促核实下哦,20221209 21:12:11
用户催促物流一直未更新，辛苦催促处理,催促，用户离线,20221212 16:33:30
怎么退货,辛苦您等候审核通过后按照页面提供的售后地址寄出并上传物流单号即可,20230422 18:10:18
退款,这边为您处理一下退款辛苦麻烦您退款到账后重新下单即可呢~,20221213 13:49:57
我在商场买的书付款好久了多久能发货是,这边帮您催促一下商家发出哦是否解决：,20230214 18:37:47
魔杖和环球影城是一样的吗可以在环球影城玩咒语的项目吗,我们在售的不支持互动的哦,20230204 11:27:38
帮忙催一下发货，急用，谢谢,下单后48小时发货,20221207 17:33:56
不发货,这边为您催促仓库尽快为您处理呢~,20221104 22:40:45
买了2套未收到全部的货物,提供下您收到的物品照片还有快递面单,20221122 15:12:31
用户购买了两套，催促发货,催促厂家,20221122 15:15:14
我还没购买啊，我是想先问一下有没有降噪功能才能确定买不买啊,这个位置有标注带有降噪功能的呢,20230410 23:37:56
元的套餐内是年卡还是季卡,喜马拉雅是年卡，keep是季卡,20230107 23:49:47
什么时候能同意退货退款？电商,这边帮您反馈商家核实下呢,20230331 10:47:22
怎么还不退款,已处理,20221226 14:07:30
这个粉色有吗p88的电商,您页面查看一下已实际显示为准,20230328 17:01:30
刚在商城购买了口红从哪里发货呢河北明天能送到吗,正常情况下，实物商品将在付款后48小时左右发货，发货后物流一般三至四天左右能达到呢，一般很快就会发货的呢,20230307 10:11:54
退款退货的商品已经被签收了麻烦处理电商所属供应商名称：北京启蒙,辛苦您提供一下您的支付宝账号姓名和您的运费账单截图这边帮您申请用户离线,20230315 10:30:55
运费补偿+退货退款,已反馈钉钉群,20230315 10:55:27
未发货,发群,20221228 14:39:48
一个数据线想改成红色的,后台修改可能存在修改失败的问题建议您可以退款之后重新拍下哦,20221030 16:35:58
左耳机丢了是否可以重新配一个,告知核实后回复,20230219 15:45:58
催促发货,这边需要为您催促一下呢，辛苦后续关注一下订单页面物流是否更新,20221220 10:53:28
这是一年会员是吗？,会员是实体卡的，需要收到货后兑换的,20230102 14:44:20
只收到这个没瑜伽垫,瑜伽垫是兑换卡辛苦手动兑换下,20230112 17:06:33
用户现金支付10元，需要报销运费，支付宝房龙，辛苦报销运费，反馈供应商,反馈商家处理,20221210 16:39:53
长时间没有物流，辛苦看下此单是否可以发出呢,反馈私信，用户离线,20221126 18:36:12
康佳电热水壶退款在哪,亲亲可以通过支付途径看下有没有收到订单费用的退还呢,20230201 19:59:39
提供寄回物流单号,辛苦您关注一下物流信息呢，签收后联系我们为您处理退款事宜呢,20230115 15:10:18
康佳电热水壶有回信吗,关于您反馈的【康佳电热水壶KEK-15DG2236(BS)】问题，现核实为：【可以把商品退回，厂家收到之后为您处理退货，邮寄地址：广东省东莞市长安镇厦岗福海路65号长友科创园二单元7楼何梦17363399893。如果您退回了，请及时联系客服提供退回的单号，以便后续查收货之后厂家及时处理】,20230106 19:38:28
我已看到退款了,好哒不客气呢是否解决：,20230201 21:44:32
物流信息不更新了电商所属供应商名称：商家:浙江五芳斋电子商务有限公司,查询到物流是已经签收了呢,20230323 19:41:46
用户称地址收件人电话填写错误导致物流无法签收，正确电话号码是辛苦核实处理,已经为您催促商家处理了呢~,20221206 13:40:53
联名能量礼盒，里边有没有会员,会员是实体卡呢,20230102 09:35:27
全额抵扣商品的订单可以取消吗,发群,20230215 21:23:09
用户反馈物流自己号码写错了，联系电话是：已联系物流说商家同意修改才可以，辛苦联系物流修改收件号码重新派送,反馈，用户离线,20230108 14:17:30
耳机只有一个有声音还有一个能使用，但是没声音,这边记录反馈商家核实下哦,20230225 12:37:39
用户催促发货,催促,20221215 20:23:47
我问下这个是年卡么，是立马能充值到账么？,不是的，这个是实物商品，需要收到之后兑换的哦,20230104 11:43:29
你好，我用积分换了一支TOM口红但是具体看不到克重,TOMFORD黑管口红哑光TF16斯嘉丽红3g商品明细里有写的呢,20230424 15:06:03
我昨天换购了一支口红，还没发货呢,48小时内发货的用户认可,20230425 13:47:10
卖的东西到了也没发消息，每次都是这样，,物流单号韵达：432866310310890,20221103 18:38:33
什么时候能退掉,处理退款,20230212 09:29:20
喜马拉雅×keep能量礼盒=怎么开通喜马拉雅年卡会员,请在卡面有效期内，用喜马拉雅APP扫描涂层后的二维码兑换使用会员权益,20221111 13:04:40
我的订单里有一个喜马拉雅的会员年卡，对不那个会员什么时候能续上,会员是实体卡哦需要收到后激活是否解决：,20221108 23:01:48
最右侧的五本。有精装没有,可以在商城中看下的，若有售卖就是有的,20221116 18:55:40
联名能量礼盒带多久会员？,这个是一年的喜马拉雅APP年卡哦,20230114 09:42:39
我东西退回去了，钱为什么没给我？,这边看到商品已退回这边尽快反馈仓库为您处理哦是否解决：,20230117 17:02:42
麻烦您们跟商家沟通吧，还未解决。,您反馈的种植育苗杯问题，联系您未接听，我们会在48小时内再次联系您，请保持通话畅通，注意接听029的来电是否有工作人员联系过您呢~,20221114 15:45:07
我们买了联名套餐，现在还没有到账，，喜马拉雅×keep能量礼盒,需要收到商品之后，用兑换卡兑换领取会员的,20230105 18:24:44
改收货电话,查看您的商品是第三方合作款不支持后台更改的呢，辛苦您申请退货退款重新购买哦,20221030 13:16:54
请问为什么一直未收到实物书呢？,帮您反馈商家核实一下呢是否解决：,20221220 19:47:03
信息填错了重新下单，催促处理,催促,20221204 13:09:05
可以听迈克狐吗？,核实信息用户未回复,20230226 19:16:06
未发货退款,处理退款,20221122 16:31:37
想更改收货人的电话号码,建议您可以在页面申请退款重新拍下因为后台修改可能存在修改失败的,20221122 17:06:53
刚刚买的耳机要一个黑色一个白色电商所属供应商名称：上海微意电子有限公司,您好，这个是一个耳机呢X2是型号，不是两个耳机用户离线,20230327 16:59:49
